"mean_bias_SW_shadow","mean_bias_SL_shadow","mean_bias_SW","mean_bias_SL","RMSE_SW_shadow","RMSE_SL_shadow","RMSE_SW","RMSE_SL","mean_overlap_SW","sd_overlap_SW","mean_overlap_SL","sd_overlap_SL","max_exp_SW","max_exp_SL","replication"
0.00827990153433438,-0.00407388448401669,0.00827412339599444,-0.00288016882615172,0.20449142246491,0.226783342784509,0.204485565061095,0.220923083509056,0.118620120120121,0.113907588527716,0.120253403403405,0.110856505646368,0.222,0.239,1
-0.0015871310363486,0.0011494996791209,-0.00158327238088997,0.00124086781737695,0.206598610367561,0.216530261125106,0.206593545405273,0.213946918585244,0.118553853853852,0.112903250133947,0.123988888888888,0.109567548729139,0.227,0.235,2
-0.00555484493083342,-0.020182429237927,-0.00555121917574246,-0.0209970749342108,0.208245928323971,0.211667936594442,0.208237239582273,0.205886833303538,0.122278528528527,0.113325540426496,0.124183333333335,0.111004545517819,0.229,0.29,3
0.000533701969156769,0.00678045882422919,0.000542751373816886,0.00754120429394481,0.215379564492493,0.210290638437849,0.215390015657716,0.203273097809067,0.119716966966967,0.113447420774372,0.123062662662661,0.110493364861854,0.248,0.256,4
-0.00999190572823071,0.00457732029781191,-0.00999532872875064,0.00395676952233838,0.213092924527914,0.215019378756882,0.21309215699588,0.210123821042296,0.126822772772776,0.1182890732965,0.131199249249248,0.115750643615285,0.255,0.258,5
-0.00183534918800274,-0.00233336644622492,-0.0018249921247821,-0.003706131106202,0.207920770732025,0.217921416084816,0.20791229192635,0.213626752610491,0.120471171171178,0.111855853557866,0.126805505505505,0.112778945013278,0.248,0.254,6
0.00525646247344739,-0.0064744442217629,0.00523510489685179,-0.00702511620906764,0.209222833722426,0.217874704593409,0.209249044164233,0.209004641336573,0.121370770770774,0.114758780855378,0.128554154154155,0.112739395118992,0.243,0.274,7
-0.00831939218115445,-0.00169776316610304,-0.0083236122994489,-0.00071091658293789,0.204684610740277,0.214162542430981,0.204672439586802,0.209385735589107,0.120096196196196,0.111861789014269,0.125536836836837,0.111867058876783,0.245,0.258,8
0.00104423822995669,0.00647841802154204,0.00105291963311917,0.00527981846375369,0.204653719117647,0.22426854426245,0.204656986093792,0.218490198444749,0.120182082082082,0.114473856629356,0.124004804804806,0.112433178283633,0.23,0.243,9
0.00354139578314704,-0.0162567972100623,0.00353894002337125,-0.0140902904013505,0.213166009018748,0.207915933622424,0.213170954709817,0.201501028913908,0.123258408408408,0.115265612285585,0.125909359359358,0.112037472045869,0.233,0.244,10
